"Animalia","Porifera","Demospongiae",,,"Xestospongia","muta","M","S","Hm","Modern",0,,,"Grzimek, B. 1974. Grzimek's Animal Life Encylopedia. Van Nostrand Reinhold Co., New York.",,,"C. McClain",,,2.43E+000,,,,7.51E+009,9.88,"sphere","Largest"
"Animalia","Porifera","Hexactinellida",,,"Aphrocallistes","vastus","M","S","Hm","Modern",0,,"B. Austin","http://www.mareco.org/khoyatan/spongegardens/NaturalHistory/sizeandform.asp",,,"C. McClain",,3.40E+000,1.10E+000,5.00E-001,,,1.87E+009,9.27,"block","Largest"
"Animalia","Cnidaria","Anthozoa",,,"Stichodactyla","mertensii","M","S","Hc","Modern",0,,"Daphne Fautin, N.Knowlton","Brandt, J. F. 1835. Prodromus Descriptionis Animalium Ab H. Mertensio in Orbis Terarum Circumnavigatione Observatorum. Sumptibus Academiae, Petropoli.",,,"C. McClain",,,1.00E+000,1.00E-001,,,7.85E+007,7.89,"cylinder","Largest (Anemone)"
"Animalia","Cnidaria","Hydrozoa",,,"Branchiocerianthus","sp.","M","S","Hc","Modern",0,,"Daphne Fautin, N.Knowlton","Barnes, R. D. 1987. Invertebrate Zoology, 5th edition. Saunders, London.",,,"C. McClain",,,2.44E-001,2.00E+000,,,9.36E+007,7.97,"cylinder","Largest (hydroid colony)"
"Animalia","Cnidaria","Anthozoa",,,"Heteractis","magnifica","M","S","Hc","Modern",0,,"Daphne Fautin, N.Knowlton","D. Fautin (pers. comm..)",,,"C. McClain",,9.00E+000,1.00E-001,,"Colony Diameter",,6.36E+009,9.8,"cylinder","Largest (Colony Anemone)"
"Animalia","Loricifera",,,,"Rugiloricus","carolinus","M","M","Hm","Modern",0,,,"Higgins, R. P., and H. Thiel, editors. 1988. Introduction to the study of meiofauna. Smithsonian Institute Press, Washington, D.C.",,,"C. McClain",,3.83E-004,1.71E-004,,"width calculated from proportions from image",,8.77E-003,-2.06,"cylinder","Largest"
"Animalia","Tardigrada",,,,"Thulinia","ruffui","F","M","Hm","Modern",0,,,"Higgins, R. P., and H. Thiel, editors. 1988. Introduction to the study of meiofauna. Smithsonian Institute Press, Washington, D.C.",,,"C. McClain",,9.00E-004,,,,,7.29E-001,-0.14,"cube","Largest"
"Animalia","Cnidaria","Cubozoa",,,"Tamoya","gargantuan","M","M","Hc","Modern",0,,"Daphne Fautin, N.Knowlton","Kramp, P. L. 1961. Synopsis of the medusae of the world. Journal of the Marine Biological Association of the United Kingdom 40:1-469.",,,"C. McClain",,2.20E-001,1.35E-001,,,,3.15E+006,6.5,"cylinder","Largest"
"Animalia","Cnidaria","Hydrozoa",,,"Rhacostoma","atlanticum","M","M","Hc","Modern",0,,"Daphne Fautin, N.Knowlton","Kramp, P. L. 1961. Synopsis of the medusae of the world. Journal of the Marine Biological Association of the United Kingdom 40:1-469.",,,"C. McClain",,,4.00E-001,1.00E-001,,,1.26E+007,7.1,"cylinder","Largest (medusoid)"
"Animalia","Cnidaria","Scyphozoa",,,"Cyanea","arctica","M","M","Hc","Modern",0,,"Daphne Fautin, N.Knowlton","Peron, F., and C. A. Lesueur. 1810. Tableau des caractères génériques et spécifiques de toutes les espèces de méduses connues jusqu’à ce jour. Annales Muséum national d'Histoire naturelle Paris 14:325-366.",,,"C. McClain",,,2.29E+000,,"Tentacle length=36.58",,6.28E+009,9.8,"sphere","Largest"
